**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

day,entry_ts,dir,peak_pts,peak_dollar,bars_to_peak,sec_to_peak,path_len,pnl
2025_04_03,1743659700.0,long,5.5,11.0,37,185,46,-32.0
2025_04_03,1743659940.0,short,16.25,32.5,23,115,48,3.0
2025_04_03,1743662700.0,long,15.0,30.0,37,185,48,45.0
2025_04_03,1743670200.0,short,6.75,13.5,35,175,46,-2.0
2025_04_03,1743670440.0,short,5.75,11.5,29,145,117,-43.5
2025_04_04,1743740100.0,short,21.5,43.0,85,425,122,26.0
2025_04_04,1743751800.0,long,17.5,35.0,7,35,85,4.5
2025_04_04,1743765600.0,short,26.75,53.5,25,125,49,30.0
2025_04_04,1743765840.0,short,25.25,50.5,18,90,25,134.0
2025_04_04,1743772920.0,short,43.75,87.5,44,220,61,70.5
2025_04_04,1743786000.0,short,38.5,77.0,22,110,61,1.5
2025_04_04,1743797820.0,short,7.25,14.5,14,70,25,33.0
2025_04_06,1743978780.0,short,42.0,84.0,9,45,25,19.5
2025_04_06,1743980700.0,short,52.25,104.5,16,80,25,159.5
2025_04_07,1743992400.0,short,10.75,21.5,16,80,25,20.5
2025_04_07,1743994800.0,long,18.25,36.5,9,45,72,-3.5
2025_04_07,1744004400.0,short,2.75,5.5,11,55,25,8.0
2025_04_07,1744004520.0,short,3.0,6.0,61,305,73,2.0
2025_04_07,1744055700.0,short,33.75,67.5,26,130,169,-290.5
2025_04_07,1744066020.0,short,17.75,35.5,23,115,179,-63.5
2025_04_08,1744079100.0,short,-0.25,-0.5,3,15,22,14.5
2025_04_08,1744079220.0,long,12.25,24.5,28,140,33,-15.5
2025_04_08,1744103640.0,short,14.0,28.0,19,95,31,27.0
2025_04_08,1744152300.0,short,21.25,42.5,100,500,123,11.5
2025_04_09,1744166100.0,long,16.75,33.5,25,125,141,-99.5
2025_04_09,1744171500.0,short,56.75,113.5,27,135,37,125.0
2025_04_09,1744171680.0,long,61.0,122.0,64,320,95,62.5
2025_04_09,1744175700.0,short,50.25,100.5,28,140,37,39.0
2025_04_09,1744200000.0,long,28.5,57.0,38,190,49,37.0
2025_04_09,1744200240.0,short,67.5,135.0,35,175,85,-0.5
2025_04_09,1744222500.0,long,59.25,118.5,27,135,37,274.5
2025_04_09,1744238340.0,long,15.5,31.0,56,280,78,10.5
2025_04_09,1744241400.0,long,9.5,19.0,30,150,46,11.5
2025_04_10,1744250100.0,short,3.0,6.0,7,35,25,6.0
2025_04_10,1744259100.0,short,25.5,51.0,37,185,122,8.0
2025_04_10,1744275000.0,short,78.75,157.5,88,440,119,76.5
2025_04_11,1744333800.0,long,78.0,156.0,116,580,249,147.5
2025_04_11,1744335060.0,short,40.5,81.0,24,120,37,69.0
2025_04_11,1744335240.0,long,31.75,63.5,30,150,59,35.0
2025_04_11,1744335540.0,long,21.0,42.0,19,95,54,24.0
2025_04_11,1744363200.0,long,17.0,34.0,9,45,49,52.0
2025_04_11,1744376340.0,long,52.25,104.5,85,425,217,-186.0
2025_04_11,1744378500.0,long,39.75,79.5,15,75,25,-50.5
2025_04_11,1744384800.0,short,39.75,79.5,48,240,181,-123.0
2025_04_11,1744400100.0,short,30.5,61.0,35,175,145,-42.5
2025_04_11,1744401300.0,short,3.0,6.0,6,30,25,16.5
2025_04_11,1744401420.0,short,24.75,49.5,26,130,61,54.0
2025_04_14,1744598100.0,short,4.5,9.0,21,105,25,-3.5
2025_04_14,1744598700.0,short,2.25,4.5,18,90,122,-16.5
2025_04_14,1744599360.0,long,4.5,9.0,45,225,186,-43.0
2025_04_14,1744603920.0,short,10.0,20.0,29,145,123,-19.0
2025_04_14,1744618920.0,short,9.25,18.5,48,240,57,20.0
2025_04_14,1744636500.0,long,24.75,49.5,60,300,85,37.5
2025_04_14,1744652280.0,short,4.5,9.0,13,65,25,11.5
2025_04_15,1744686120.0,short,13.75,27.5,21,105,111,10.5
2025_04_15,1744689900.0,long,10.25,20.5,60,300,71,13.5
2025_04_15,1744691100.0,long,8.75,17.5,120,600,213,-22.0
2025_04_15,1744696740.0,short,9.0,18.0,33,165,45,22.5
2025_04_15,1744698600.0,long,6.75,13.5,21,105,31,8.5
2025_04_15,1744698780.0,long,16.25,32.5,91,455,127,23.5
2025_04_15,1744708260.0,long,43.0,86.0,228,1140,250,74.5
2025_04_15,1744713000.0,long,13.75,27.5,22,110,87,-9.5
2025_04_15,1744727220.0,long,89.75,179.5,101,505,145,85.5
2025_04_15,1744731900.0,short,35.5,71.0,29,145,37,76.5
2025_04_15,1744732080.0,long,18.0,36.0,29,145,37,-22.0
2025_04_15,1744734000.0,short,10.5,21.0,6,30,25,-32.0
2025_04_15,1744734120.0,short,46.25,92.5,240,1200,289,10.0
2025_04_15,1744744200.0,long,25.5,51.0,112,560,121,17.5
2025_04_15,1744757340.0,short,27.25,54.5,57,285,79,33.0
2025_04_15,1744759800.0,short,27.75,55.5,65,325,116,22.5
2025_04_16,1744770960.0,short,10.75,21.5,37,185,77,6.5
2025_04_16,1744775520.0,short,13.0,26.0,59,295,79,21.5
2025_04_16,1744795500.0,long,23.75,47.5,18,90,145,-19.5
2025_04_16,1744801260.0,long,12.25,24.5,110,550,154,3.0
2025_04_16,1744802700.0,long,21.0,42.0,78,390,95,36.0
2025_04_16,1744820520.0,long,8.25,16.5,9,45,25,36.5
2025_04_16,1744820640.0,long,14.25,28.5,36,180,61,0.0
2025_04_16,1744820940.0,short,7.75,15.5,19,95,25,-21.5
2025_04_16,1744821060.0,long,2.5,5.0,13,65,37,24.0
2025_04_16,1744821240.0,short,63.25,126.5,83,415,109,57.0
2025_04_16,1744847400.0,short,20.25,40.5,19,95,30,26.5
2025_04_17,1744848720.0,long,16.0,32.0,33,165,111,-21.5
2025_04_17,1744855620.0,long,2.25,4.5,16,80,21,14.0
2025_04_17,1744855740.0,long,29.5,59.0,75,375,130,49.5
2025_04_17,1744897200.0,short,35.75,71.5,81,405,85,44.5
2025_04_17,1744918800.0,long,44.25,88.5,33,165,61,22.0
2025_04_20,1745188500.0,long,14.75,29.5,36,180,78,-2.0
2025_04_21,1745204700.0,long,11.5,23.0,42,210,46,18.5
2025_04_21,1745204940.0,short,6.25,12.5,3,15,20,11.0
2025_04_21,1745205060.0,long,4.75,9.5,16,80,27,16.0
2025_04_21,1745205240.0,long,11.25,22.5,22,110,56,18.5
2025_04_21,1745215200.0,long,8.5,17.0,32,160,49,12.0
2025_04_21,1745221020.0,short,3.25,6.5,9,45,25,8.5
2025_04_21,1745221500.0,short,2.75,5.5,4,20,67,5.0
2025_04_21,1745221860.0,short,27.0,54.0,103,515,124,-14.0
2025_04_21,1745225460.0,short,18.75,37.5,39,195,56,12.0
2025_04_21,1745256780.0,short,6.75,13.5,71,355,85,3.5
2025_04_21,1745257260.0,short,21.0,42.0,26,130,61,47.5
2025_04_21,1745258100.0,short,18.0,36.0,37,185,61,32.0
2025_04_22,1745299440.0,long,15.0,30.0,131,655,152,20.0
2025_04_22,1745327940.0,long,26.5,53.0,109,545,121,47.0
2025_04_22,1745332500.0,short,3.5,7.0,10,50,25,-33.0
2025_04_22,1745332620.0,long,21.0,42.0,38,190,85,31.5
2025_04_23,1745383740.0,short,2.5,5.0,37,185,85,-6.5
2025_04_23,1745388000.0,long,3.5,7.0,35,175,111,7.5
2025_04_23,1745394120.0,long,13.5,27.0,90,450,95,16.0
2025_04_23,1745417700.0,long,111.75,223.5,222,1110,229,205.5
2025_04_23,1745426340.0,short,55.5,111.0,133,665,169,12.5
2025_04_23,1745429160.0,short,93.25,186.5,158,790,181,167.0
2025_04_23,1745432280.0,long,39.25,78.5,39,195,49,46.0
2025_04_23,1745432520.0,short,76.0,152.0,92,460,157,102.0
2025_04_24,1745467500.0,short,38.5,77.0,132,660,255,58.5
2025_04_24,1745506380.0,long,29.5,59.0,51,255,85,46.5
2025_04_24,1745510880.0,long,12.75,25.5,5,25,25,19.5
2025_04_25,1745556600.0,short,24.75,49.5,66,330,113,19.0
2025_04_25,1745567940.0,short,11.5,23.0,61,305,120,-16.0
2025_04_25,1745569500.0,short,10.75,21.5,36,180,57,24.0
2025_04_28,1745804700.0,long,10.75,21.5,40,200,65,10.5
2025_04_28,1745811900.0,short,5.0,10.0,32,160,45,9.0
2025_04_28,1745815800.0,short,14.0,28.0,69,345,98,20.5
2025_04_28,1745837400.0,short,7.5,15.0,18,90,22,18.5
2025_04_28,1745850900.0,short,18.5,37.0,79,395,85,-43.5
2025_04_28,1745859600.0,short,17.25,34.5,64,320,73,18.5
2025_04_28,1745860140.0,short,28.75,57.5,75,375,97,7.0
2025_04_28,1745864100.0,short,23.25,46.5,36,180,61,26.0
2025_04_28,1745864400.0,long,7.75,15.5,3,15,25,5.0
2025_04_29,1745917680.0,long,4.0,8.0,22,110,68,-27.5
2025_04_29,1745919300.0,short,6.75,13.5,35,175,43,-3.5
2025_04_29,1745950500.0,long,14.25,28.5,32,160,133,-23.5
2025_04_29,1745951220.0,long,14.0,28.0,17,85,97,7.0
2025_04_29,1745953140.0,long,19.75,39.5,31,155,61,-8.0
2025_04_29,1745957100.0,long,4.75,9.5,20,100,37,-9.5
2025_04_29,1745967180.0,short,22.5,45.0,62,310,98,37.5
2025_04_30,1745972940.0,short,7.75,15.5,22,110,111,-15.0
2025_04_30,1745985540.0,short,12.0,24.0,63,315,104,18.0
2025_04_30,1745990760.0,short,3.0,6.0,14,70,145,-35.5
2025_04_30,1746053400.0,long,29.25,58.5,118,590,147,42.5
2025_05_01,1746065340.0,long,19.5,39.0,157,785,209,23.5
2025_05_01,1746072000.0,short,15.25,30.5,219,1095,225,37.0
2025_05_01,1746095820.0,short,8.0,16.0,33,165,83,23.5
2025_05_01,1746124800.0,short,18.25,36.5,26,130,49,-4.0
2025_05_01,1746125040.0,short,41.75,83.5,217,1085,301,83.5
2025_05_01,1746138900.0,short,4.5,9.0,17,85,75,-1.0
2025_05_01,1746140100.0,short,7.25,14.5,29,145,102,-8.5
2025_05_02,1746157020.0,short,2.75,5.5,86,430,131,-19.0
2025_05_02,1746158100.0,long,1.25,2.5,4,20,16,4.0
2025_05_02,1746168720.0,long,5.5,11.0,19,95,23,3.0
2025_05_02,1746168840.0,short,4.75,9.5,18,90,53,-13.5
2025_05_02,1746170820.0,short,28.5,57.0,63,315,118,27.5
2025_05_04,1746399900.0,short,12.75,25.5,36,180,50,16.5
2025_05_05,1746423060.0,short,11.75,23.5,139,695,162,21.5
2025_05_05,1746438300.0,short,8.0,16.0,17,85,34,-8.5
2025_05_05,1746438480.0,short,22.75,45.5,190,950,218,26.5
2025_05_05,1746465180.0,long,7.75,15.5,52,260,85,9.0
2025_05_05,1746467700.0,long,10.0,20.0,92,460,97,19.5
2025_05_05,1746484560.0,short,15.75,31.5,137,685,141,28.5
2025_05_05,1746488700.0,short,13.25,26.5,49,245,95,27.0
2025_05_06,1746518400.0,long,6.75,13.5,8,40,85,-30.0
2025_05_06,1746526980.0,long,4.75,9.5,20,100,42,-0.5
2025_05_06,1746555000.0,long,53.0,106.0,123,615,145,105.0
2025_05_06,1746562500.0,short,34.0,68.0,6,30,61,16.5
2025_05_07,1746609480.0,short,25.25,50.5,66,330,92,41.0
2025_05_07,1746627540.0,short,5.25,10.5,5,25,37,30.0
2025_05_07,1746627840.0,short,11.75,23.5,19,95,97,-19.5
2025_05_07,1746634440.0,short,9.25,18.5,18,90,25,22.0
2025_05_07,1746634680.0,short,25.75,51.5,68,340,109,17.5
2025_05_08,1746678600.0,long,3.25,6.5,18,90,27,16.0
2025_05_08,1746684720.0,short,3.75,7.5,17,85,59,3.5
2025_05_08,1746699600.0,short,4.0,8.0,37,185,43,7.0
2025_05_08,1746699840.0,long,7.25,14.5,35,175,55,1.0
2025_05_08,1746707100.0,short,5.5,11.0,29,145,34,23.0
2025_05_08,1746707280.0,short,63.25,126.5,144,720,181,129.5
2025_05_08,1746729000.0,long,35.0,70.0,98,490,121,64.5
2025_05_08,1746729720.0,short,27.75,55.5,112,560,145,34.5
2025_05_09,1746767400.0,short,15.75,31.5,119,595,152,37.0
2025_05_09,1746793560.0,long,2.5,5.0,6,30,59,23.5
2025_05_09,1746811500.0,short,32.25,64.5,100,500,277,-47.0
2025_05_09,1746816900.0,long,9.25,18.5,26,130,37,17.0
2025_05_09,1746822300.0,short,6.75,13.5,92,460,111,3.0
2025_05_11,1747004100.0,long,28.75,57.5,99,495,138,30.0
2025_05_11,1747005000.0,long,12.5,25.0,16,80,28,19.5
2025_05_11,1747005180.0,long,4.75,9.5,20,100,24,5.5
2025_05_12,1747009320.0,long,33.0,66.0,167,835,205,63.0
2025_05_12,1747018560.0,long,7.0,14.0,25,125,120,13.5
2025_05_12,1747058760.0,short,19.25,38.5,39,195,61,-17.0
2025_05_12,1747071900.0,long,4.5,9.0,14,70,25,14.0
2025_05_12,1747072020.0,short,5.5,11.0,30,150,85,-21.5
2025_05_12,1747073700.0,short,10.25,20.5,24,120,109,-28.0
2025_05_12,1747074300.0,short,4.25,8.5,8,40,25,6.5
2025_05_12,1747074420.0,long,10.25,20.5,27,135,61,15.5
2025_05_13,1747096500.0,short,11.75,23.5,48,240,80,19.0
2025_05_13,1747098960.0,short,3.0,6.0,20,100,24,0.0
2025_05_13,1747101600.0,short,8.5,17.0,19,95,103,-16.0
2025_05_13,1747102200.0,short,13.25,26.5,62,310,94,16.5
2025_05_13,1747107000.0,short,14.0,28.0,79,395,189,15.5
2025_05_13,1747121700.0,short,2.5,5.0,14,70,21,5.5
2025_05_13,1747121820.0,long,3.75,7.5,11,55,24,4.0
2025_05_13,1747142220.0,long,9.5,19.0,56,280,73,9.5
2025_05_13,1747146900.0,long,5.5,11.0,21,105,25,7.0
2025_05_13,1747149300.0,long,15.75,31.5,57,285,85,7.0
2025_05_14,1747184100.0,long,2.25,4.5,9,45,20,6.0
2025_05_14,1747184220.0,short,4.75,9.5,18,90,23,5.5
2025_05_14,1747212600.0,short,54.0,108.0,184,920,216,86.0
2025_05_14,1747213800.0,short,7.0,14.0,43,215,229,-52.0
2025_05_14,1747227600.0,short,13.25,26.5,23,115,48,14.5
2025_05_14,1747227840.0,long,22.5,45.0,169,845,192,41.0
2025_05_14,1747231500.0,short,19.5,39.0,83,415,109,-34.5
2025_05_14,1747232040.0,short,26.25,52.5,20,100,61,28.5
2025_05_14,1747246500.0,short,15.25,30.5,33,165,37,6.5
2025_05_14,1747246680.0,long,9.0,18.0,19,95,49,-14.0
2025_05_15,1747268580.0,short,12.25,24.5,28,140,136,-3.0
2025_05_15,1747278360.0,short,18.75,37.5,64,320,143,19.5
2025_05_15,1747292400.0,short,5.0,10.0,20,100,25,0.5
2025_05_15,1747292580.0,short,39.25,78.5,175,875,190,51.0
2025_05_15,1747318740.0,short,58.75,117.5,204,1020,229,91.5
2025_05_15,1747320600.0,long,13.5,27.0,44,220,49,38.5
2025_05_15,1747320840.0,long,7.5,15.0,17,85,25,13.5
2025_05_15,1747334400.0,long,6.25,12.5,22,110,37,-7.0
2025_05_15,1747336800.0,short,68.5,137.0,74,370,229,59.0
2025_05_15,1747340400.0,short,14.5,29.0,90,450,156,22.5
2025_05_15,1747347900.0,long,8.0,16.0,64,320,129,4.5
2025_05_16,1747365300.0,long,1.0,2.0,13,65,70,3.5
2025_05_16,1747423800.0,short,21.0,42.0,123,615,133,28.5
2025_05_19,1747632420.0,short,16.75,33.5,59,295,108,17.0
2025_05_19,1747695240.0,long,1.5,3.0,21,105,32,6.0
2025_05_19,1747695600.0,short,3.75,7.5,21,105,83,-33.0
2025_05_20,1747721820.0,short,21.25,42.5,78,390,109,37.0
2025_05_20,1747724400.0,short,16.5,33.0,54,270,61,28.0
2025_05_20,1747737540.0,long,12.75,25.5,113,565,132,30.0
2025_05_20,1747738500.0,long,12.5,25.0,58,290,83,34.0
2025_05_20,1747751400.0,long,7.5,15.0,24,120,61,21.5
2025_05_21,1747803120.0,long,25.5,51.0,159,795,172,56.0
2025_05_21,1747809000.0,short,37.5,75.0,119,595,154,39.0
2025_05_21,1747836000.0,long,72.75,145.5,20,100,37,69.5
2025_05_21,1747837500.0,long,24.0,48.0,25,125,37,-0.5
2025_05_21,1747837740.0,long,25.0,50.0,25,125,97,-9.5
2025_05_21,1747838280.0,long,23.0,46.0,164,820,205,41.0
2025_05_22,1747876500.0,long,3.75,7.5,4,20,95,-17.0
2025_05_22,1747887720.0,short,3.25,6.5,37,185,42,6.5
2025_05_22,1747891500.0,long,26.0,52.0,91,455,108,28.0
2025_05_22,1747897200.0,long,21.75,43.5,61,305,106,13.0
2025_05_22,1747909560.0,long,11.25,22.5,28,140,36,16.5
2025_05_22,1747921620.0,long,7.75,15.5,18,90,25,12.0
2025_05_22,1747921740.0,long,117.0,234.0,139,695,145,238.5
2025_05_22,1747925100.0,long,16.0,32.0,16,80,49,-22.0
2025_05_22,1747925400.0,long,11.25,22.5,5,25,25,-6.0
2025_05_22,1747925580.0,long,52.75,105.5,181,905,205,78.0
2025_05_22,1747926600.0,long,16.5,33.0,191,955,217,-18.5
2025_05_22,1747937100.0,long,16.5,33.0,45,225,49,11.0
2025_05_22,1747945260.0,short,5.0,10.0,36,180,46,10.0
2025_05_23,1747989780.0,long,4.75,9.5,72,360,155,-5.5
2025_05_23,1747996200.0,short,23.5,47.0,106,530,131,29.5
2025_05_23,1748004600.0,short,23.75,47.5,78,390,109,7.0
2025_05_23,1748016900.0,short,19.75,39.5,27,135,37,33.5
2025_05_23,1748017200.0,long,29.75,59.5,93,465,205,47.5
2025_05_26,1748230260.0,long,12.0,24.0,112,560,177,10.5
2025_05_26,1748233800.0,long,18.25,36.5,129,645,150,29.5
2025_05_26,1748238240.0,short,6.75,13.5,22,110,48,-2.5
2025_05_26,1748247360.0,short,6.5,13.0,18,90,23,-3.0
2025_05_26,1748269200.0,short,8.25,16.5,22,110,55,-11.0
2025_05_26,1748302560.0,short,5.75,11.5,23,115,28,13.5
2025_05_27,1748309400.0,short,6.0,12.0,31,155,47,10.0
2025_05_27,1748341500.0,long,9.5,19.0,17,85,40,16.5
2025_05_27,1748345100.0,long,18.5,37.0,131,655,143,21.5
2025_05_27,1748347800.0,long,1.75,3.5,11,55,23,4.0
2025_05_27,1748347920.0,short,28.75,57.5,86,430,154,6.5
2025_05_27,1748357640.0,short,23.0,46.0,54,270,97,7.5
2025_05_27,1748374800.0,short,4.25,8.5,84,420,109,3.0
2025_05_27,1748376900.0,short,4.25,8.5,19,95,25,9.5
2025_05_28,1748399820.0,short,7.5,15.0,17,85,42,1.0
2025_05_28,1748423880.0,short,17.5,35.0,63,315,102,19.0
2025_05_28,1748442300.0,short,21.5,43.0,24,120,49,30.0
2025_05_28,1748452200.0,long,3.75,7.5,14,70,25,11.5
2025_05_29,1748482560.0,long,3.0,6.0,19,95,24,-13.0
2025_05_29,1748495400.0,short,5.25,10.5,28,140,41,5.5
2025_05_29,1748539500.0,long,19.25,38.5,3,15,37,-2.0
2025_05_29,1748539680.0,short,10.5,21.0,113,565,193,10.0
2025_05_30,1748589300.0,long,6.0,12.0,16,80,22,19.5
2025_06_02,1748825880.0,long,19.0,38.0,113,565,127,27.0
2025_06_02,1748844000.0,short,8.75,17.5,30,150,62,23.0
2025_06_02,1748855100.0,short,4.75,9.5,20,100,24,-13.5
2025_06_02,1748855220.0,short,30.75,61.5,84,420,95,51.0
2025_06_02,1748873820.0,short,3.0,6.0,14,70,25,4.0
2025_06_02,1748874060.0,long,60.0,120.0,97,485,121,98.0
2025_06_02,1748875740.0,long,5.75,11.5,19,95,25,17.0
2025_06_02,1748887500.0,long,5.25,10.5,21,105,25,9.0
2025_06_03,1748923920.0,short,6.25,12.5,36,180,101,15.0
2025_06_03,1748930340.0,short,24.0,48.0,114,570,146,34.0
2025_06_03,1748952120.0,long,8.25,16.5,161,805,216,-18.0
2025_06_03,1748992620.0,long,4.0,8.0,10,50,15,7.0
2025_06_04,1748996520.0,short,6.25,12.5,18,90,64,10.5
2025_06_04,1749058500.0,short,26.25,52.5,65,325,97,23.0
2025_06_04,1749061500.0,long,22.0,44.0,63,315,85,23.0
2025_06_04,1749066300.0,short,14.25,28.5,45,225,49,24.0
2025_06_04,1749068700.0,short,4.0,8.0,13,65,72,1.5
2025_06_04,1749077760.0,short,4.0,8.0,26,130,35,1.0
2025_06_04,1749080460.0,short,3.5,7.0,17,85,92,0.0
2025_06_05,1749086160.0,short,6.75,13.5,57,285,83,24.5
2025_06_05,1749097860.0,long,4.75,9.5,35,175,53,3.0
2025_06_05,1749103200.0,short,4.0,8.0,28,140,84,-8.0
2025_06_05,1749119700.0,long,5.25,10.5,5,25,47,-6.0
2025_06_06,1749183420.0,long,8.75,17.5,115,575,185,9.5
2025_06_06,1749193380.0,long,7.25,14.5,18,90,35,-25.5
2025_06_06,1749193560.0,long,16.75,33.5,31,155,37,2.5
2025_06_06,1749199200.0,long,5.75,11.5,24,120,31,9.0
2025_06_06,1749199380.0,long,2.75,5.5,7,35,31,10.5
2025_06_06,1749208500.0,long,7.25,14.5,22,110,46,13.5
2025_06_06,1749208740.0,short,5.25,10.5,57,285,90,-6.0
2025_06_06,1749211920.0,short,12.0,24.0,126,630,155,4.5
2025_06_06,1749218580.0,long,5.0,10.0,13,65,25,13.5
2025_06_06,1749226140.0,short,32.25,64.5,196,980,217,52.0
2025_06_06,1749229200.0,short,12.75,25.5,30,150,73,36.5
2025_06_06,1749229560.0,short,7.75,15.5,26,130,49,6.5
2025_06_08,1749423900.0,short,11.75,23.5,73,365,232,-21.5
2025_06_09,1749435540.0,short,15.0,30.0,33,165,61,17.5
2025_06_09,1749454860.0,long,5.75,11.5,39,195,52,9.0
2025_06_09,1749461220.0,long,14.5,29.0,93,465,151,18.0
2025_06_09,1749479400.0,long,13.5,27.0,14,70,25,36.0
2025_06_09,1749479520.0,short,14.75,29.5,3,15,61,13.0
2025_06_09,1749480000.0,short,1.75,3.5,14,70,37,10.5
2025_06_10,1749561600.0,short,33.75,67.5,178,890,289,5.5
2025_06_10,1749564000.0,short,11.75,23.5,5,25,25,6.0
2025_06_10,1749564120.0,short,7.75,15.5,21,105,25,15.5
2025_06_10,1749564240.0,long,9.75,19.5,4,20,25,10.5
2025_06_10,1749564360.0,short,6.75,13.5,16,80,25,14.0
2025_06_10,1749564600.0,long,12.25,24.5,42,210,61,11.0
2025_06_11,1749602700.0,short,7.25,14.5,17,85,33,14.5
2025_06_11,1749603300.0,short,11.25,22.5,33,165,106,17.5
2025_06_11,1749604500.0,short,2.0,4.0,15,75,21,14.5
2025_06_11,1749606900.0,long,5.75,11.5,27,135,58,13.0
2025_06_11,1749630480.0,long,27.25,54.5,105,525,140,41.0
2025_06_11,1749644700.0,long,142.75,285.5,73,365,145,249.0
2025_06_11,1749647820.0,long,3.75,7.5,15,75,25,8.5
2025_06_11,1749650520.0,short,8.25,16.5,16,80,25,-5.5
2025_06_11,1749669300.0,short,28.75,57.5,57,285,169,24.5
2025_06_12,1749687300.0,short,4.5,9.0,49,245,53,4.5
2025_06_12,1749687600.0,short,26.75,53.5,82,410,177,42.5
2025_06_12,1749690960.0,short,55.25,110.5,241,1205,267,88.0
2025_06_12,1749696120.0,short,0.5,1.0,13,65,17,5.0
2025_06_12,1749716700.0,long,10.25,20.5,23,115,33,19.0
2025_06_12,1749716880.0,long,4.5,9.0,30,150,52,4.5
2025_06_12,1749734460.0,long,4.5,9.0,20,100,24,-0.5
2025_06_12,1749738600.0,long,7.0,14.0,56,280,61,-7.5
2025_06_12,1749738960.0,long,22.75,45.5,60,300,85,41.0
2025_06_12,1749757200.0,short,3.75,7.5,16,80,25,7.5
2025_06_12,1749757320.0,short,5.75,11.5,17,85,25,12.5
2025_06_12,1749770160.0,short,5.25,10.5,23,115,56,8.5
2025_06_13,1749775800.0,short,62.0,124.0,57,285,97,52.0
2025_06_13,1749792360.0,short,10.75,21.5,20,100,29,4.0
2025_06_13,1749811500.0,long,13.5,27.0,32,160,64,9.5
2025_06_13,1749836940.0,long,33.5,67.0,39,195,85,41.0
2025_06_16,1750043700.0,short,4.0,8.0,13,65,37,2.0
2025_06_16,1750053360.0,short,5.75,11.5,14,70,48,18.5
2025_06_16,1750068000.0,long,6.75,13.5,43,215,67,10.5
2025_06_16,1750088700.0,long,10.5,21.0,21,105,61,4.0
2025_06_16,1750100400.0,short,4.75,9.5,17,85,25,8.0
2025_06_16,1750105020.0,long,3.25,6.5,22,110,33,-7.0
2025_06_16,1750107120.0,long,4.75,9.5,62,310,94,-30.5
2025_06_17,1750136580.0,short,9.75,19.5,72,360,97,-11.0
2025_06_17,1750149600.0,long,14.0,28.0,55,275,65,18.5
2025_06_17,1750192200.0,short,63.25,126.5,164,820,188,68.0
2025_06_18,1750232100.0,long,9.5,19.0,14,70,91,3.5
2025_06_18,1750285260.0,short,13.0,26.0,45,225,64,-2.5
2025_06_19,1750347600.0,short,13.0,26.0,21,105,33,13.5
2025_07_01,1751331900.0,long,2.75,5.5,8,40,17,7.0
2025_07_01,1751340480.0,long,5.25,10.5,91,455,118,3.0
2025_07_01,1751348160.0,long,3.0,6.0,37,185,43,5.0
2025_07_01,1751350260.0,short,5.5,11.0,65,325,69,2.5
2025_07_01,1751352540.0,long,13.75,27.5,84,420,108,17.5
2025_07_01,1751408100.0,long,5.5,11.0,22,110,34,14.5
2025_07_01,1751408340.0,short,4.0,8.0,36,180,40,13.0
2025_07_02,1751416200.0,long,2.5,5.0,21,105,42,-4.0
2025_07_02,1751428200.0,long,3.75,7.5,13,65,40,0.0
2025_07_02,1751447400.0,long,3.5,7.0,23,115,85,-12.0
2025_07_02,1751451000.0,long,4.25,8.5,40,200,44,4.0
2025_07_02,1751451540.0,short,7.0,14.0,27,135,56,8.0
2025_07_02,1751454300.0,short,4.5,9.0,109,545,133,-3.5
2025_07_02,1751471100.0,long,12.5,25.0,24,120,61,8.5
2025_07_02,1751481000.0,long,3.75,7.5,3,15,25,8.5
2025_07_02,1751481120.0,long,4.75,9.5,32,160,49,2.0
2025_07_02,1751481900.0,long,11.25,22.5,46,230,97,-6.0
2025_07_02,1751482380.0,long,28.25,56.5,134,670,169,31.0
2025_07_02,1751485500.0,short,6.5,13.0,50,250,181,-37.0
2025_07_02,1751495520.0,long,13.0,26.0,98,490,109,23.5
2025_07_02,1751500020.0,short,2.25,4.5,32,160,86,-1.5
2025_07_03,1751500800.0,short,8.5,17.0,26,130,58,7.5
2025_07_03,1751501700.0,long,10.0,20.0,26,130,59,4.0
2025_07_03,1751528100.0,long,16.75,33.5,66,330,92,28.0
2025_07_03,1751545500.0,short,4.0,8.0,24,120,156,-96.5
2025_07_03,1751556900.0,long,25.75,51.5,80,400,121,39.0
2025_07_03,1751583000.0,long,4.0,8.0,34,170,62,4.0
2025_07_04,1751588400.0,short,7.0,14.0,20,100,28,11.5
2025_07_04,1751590560.0,long,3.25,6.5,13,65,41,5.0
2025_07_04,1751593020.0,long,4.0,8.0,25,125,62,-3.5
2025_07_04,1751596200.0,short,3.25,6.5,14,70,21,4.0
2025_07_04,1751596320.0,long,4.25,8.5,35,175,44,4.0
2025_07_04,1751605380.0,short,10.0,20.0,151,755,181,15.5
2025_07_04,1751615700.0,short,12.75,25.5,51,255,75,16.0
2025_07_04,1751620800.0,short,8.0,16.0,100,500,121,0.0
2025_07_04,1751623800.0,short,8.0,16.0,47,235,51,19.0
2025_07_04,1751624340.0,long,12.0,24.0,25,125,95,-9.0
2025_07_04,1751624940.0,long,15.0,30.0,88,440,125,8.0
2025_07_04,1751632680.0,short,3.5,7.0,23,115,45,-9.0
2025_07_04,1751637600.0,long,7.75,15.5,38,190,96,-11.0
2025_07_06,1751844900.0,long,16.75,33.5,47,235,76,12.0
2025_07_07,1751869980.0,long,3.25,6.5,17,85,41,7.5
